id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-12 19:11:17 EST,2/12/22,19:11:17,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,How to burn and upgrade your Gutter Comic cover NFTs 📚🔥👇   https://t.co/GTL0ITIDHh,en,[],['https://guttercatgang.com/gutter-comics-rarity-burn-is-live/'],[],12,34,83,[],[],https://twitter.com/GutterCatGang/status/1492652561706352641,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-12 14:10:13 EST,2/12/22,14:10:13,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Gutter Comics Opensea Collection ⬇️   https://t.co/XIAO7oCcPn,en,[],['https://opensea.io/collection/gutter-comics'],[],0,5,17,[],[],https://twitter.com/GutterCatGang/status/1492576796868591618,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-12 14:10:13 EST,2/12/22,14:10:13,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Burn-to-upgrade is now open for GCG comic NFT holders &amp; will permanently close in 60 days!🔥  Collect &amp; burn 2 normal edition NFTs (of same cover) to upgrade to the gold edition. Collect &amp; burn 2 gold edition NFTs to upgrade to the holographic edition.  ➡️  https://t.co/wcQzqXPZ2g  https://t.co/cHpcEARnYJ,en,[],['https://comic.guttercatgang.com'],['https://pbs.twimg.com/media/FLaxBbzX0AMbtFJ.jpg'],5,39,103,[],[],https://twitter.com/GutterCatGang/status/1492576794330992645,FALSE,,1,https://pbs.twimg.com/media/FLaxBbzX0AMbtFJ.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-12 10:31:50 EST,2/12/22,10:31:50,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,"REMINDER: the free comic cover NFT mint for Gutter Cat holders permanently closes TODAY at 2:00 PM EST. If you own a Gutter Cat, remember to claim your comic!   Comic rarity-burn will begin right after. 📚🔥  ➡️  https://t.co/kcpx0IF63Z  https://t.co/HBfwSYVa1E",en,[],['http://comic.guttercatgang.com'],['https://pbs.twimg.com/media/FLaAshgX0AAhfyE.jpg'],4,20,71,[],[],https://twitter.com/GutterCatGang/status/1492521836797693964,FALSE,,1,https://pbs.twimg.com/media/FLaAshgX0AAhfyE.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-11 23:23:04 EST,2/11/22,23:23:04,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@ipfitz Gang gang,in,[],[],[],0,1,8,[],[],https://twitter.com/GutterCatGang/status/1492353537417695235,FALSE,,0,,,,,,,,"[{'screen_name': 'ipfitz', 'name': 'fitzy', 'id': '1416494339996463113'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-11 20:45:19 EST,2/11/22,20:45:19,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@georgewong @TheNFTAsian @negithenagi I got you both 😼  Gang gang,en,[],[],[],1,0,5,[],[],https://twitter.com/GutterCatGang/status/1492313839504789506,FALSE,,0,,,,,,,,"[{'screen_name': 'georgewong', 'name': 'dawhat.eth', 'id': '14191422'}, {'screen_name': 'TheNFTAsian', 'name': 'Apesian | NFTAsian.eth | Kongz 1473 | Citizen #658', 'id': '1384026211320426498'}, {'screen_name': 'negithenagi', 'name': 'NEGI the crazyeyedape.eth', 'id': '1416337864774668292'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-11 14:37:49 EST,2/11/22,14:37:49,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,REMINDER  The auction for the GCG x @EpicThunderCat 1/1 NFT art bundle ends tonight at 8 PM EST. Don't miss out on these incredibly dope renditions of the gang gang. 🚨  Auction link:  https://t.co/L6NsWLhmHj  https://t.co/LmT9ppU5Yg,en,"[{'screen_name': 'epicthundercat', 'name': 'epic thundercat', 'id': '1100193591979167745'}]",['https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/99439912602720776733516043861900709012959569686069937248722781777591923638273/'],['https://pbs.twimg.com/media/FLVsALrVgAAgW6B.jpg'],6,24,68,[],[],https://twitter.com/GutterCatGang/status/1492221354371792896,FALSE,,1,https://pbs.twimg.com/media/FLVsALrVgAAgW6B.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-10 22:03:14 EST,2/10/22,22:03:14,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@crystalhefner Gutter Cat Gang,de,[],[],[],18,14,192,[],[],https://twitter.com/GutterCatGang/status/1491971060354351111,FALSE,,0,,,,,,,,"[{'screen_name': 'crystalhefner', 'name': 'Crystal Hefner', 'id': '22959589'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-10 17:01:02 EST,2/10/22,17:01:02,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Gutter full-set holders are receiving a special Twitter-sized banner to celebrate the drop and auction! 🔥   TY @epicthundercat! 😼  https://t.co/jXMssBm4d8,en,"[{'screen_name': 'epicthundercat', 'name': 'epic thundercat', 'id': '1100193591979167745'}]",[],['https://pbs.twimg.com/media/FLRFTPDVIAEeHKl.jpg'],5,19,51,[],[],https://twitter.com/GutterCatGang/status/1491895006994464795,FALSE,,1,https://pbs.twimg.com/media/FLRFTPDVIAEeHKl.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-10 17:01:01 EST,2/10/22,17:01:01,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Gang gang  The GCG x @EpicThunderCat 1/1 bundle auction begins tonight at 8 PM EST for 24-hours. The winner will receive 6 individual NFTs + a special airdrop from the artist. 🔥  The auction ends tomorrow at 8 PM EST. Good luck!  Auction link:  https://t.co/L6NsWLhmHj  https://t.co/DvMA8LHW4R,en,"[{'screen_name': 'epicthundercat', 'name': 'epic thundercat', 'id': '1100193591979167745'}]",['https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/99439912602720776733516043861900709012959569686069937248722781777591923638273/'],['https://pbs.twimg.com/media/FLRFM7AUcAAFbbd.jpg'],6,40,127,[],[],https://twitter.com/GutterCatGang/status/1491895002066145280,FALSE,,1,https://pbs.twimg.com/media/FLRFM7AUcAAFbbd.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
